first_name|gender|origin|definition
Dandokna|m|Calabar|
Ungoma|m|Calabar|
Owoola|m|Calabar|
Obura|m|Calabar|
Norquor|m|Calabar|
Aquajohn|m|Calabar|
Asomassa|m|Calabar|
Amoloco|m|Eboo, Hebo|
Uwau|m|Eboo, Hebo|
Whadatow|m|Calabar|
Honoche|m|Calabar|
Archeone|m|Calabar|
Halimon|f|Calabar|
Awacorr|f|Calabar|
Bacca|f|Calabar|
Holoo|f|Calabar|
Aggar|f|Calabar|
Pattamore|f|Calabar|
Hanuro|f|Calabar|
Menack|f|Calabar|
Harbuccoo|f|Calabar|
Hinor|f|Eboo, Hebo|
Hakoy|f|Eboo, Hebo|
Yaygor|f|Eboo, Hebo|
Yucklong|f|Eboo, Hebo|
Name|f|Eboo, Hebo|
Naham|f|Eboo, Hebo|
Hasema|f|Eboo, Hebo|
Hocone|f|Eboo, Hebo|
Accuah|f|Eboo, Hebo|
Huguama|f|Eboo, Hebo|
Contuurtum|f|Eboo, Hebo|
Arromer|f|Eboo, Hebo|
Hoomquah|f|Eboo, Hebo|
Hogoleak|f|Eboo, Hebo|
Humbar|f|Eboo, Hebo|
Huback|f|Eboo, Hebo|
Coratt|f|Eboo, Hebo|
Nolianga|f|Eboo, Hebo|
Huackio|f|Calabar|
Workar|f|Calabar|
Whydoo|f|Calabar|
Houa|f|Calabar|
Gallachar|f|Calabar|
Cando|f|Calabar|
Ardaguem|f|Calabar|
Hockerjack|f|Calabar|
Guarmer|f|Calabar|
Barroola|f|Calabar|
Lome|f|Calabar|
Normack|f|Calabar|
Narlaye|f|Calabar|
Accacoon|f|Calabar|
Atteo|m|Eboo, Hebo|
Assa|m|Eboo, Hebo|
Alen|m|Eboo, Hebo|
Accan|m|Eboo, Hebo|
Eacarr|m|Eboo, Hebo|
Heammy|m|Eboo, Hebo|
Yamba|m|Eboo, Hebo|
Huchim|m|Eboo, Hebo|
Aquarry|m|Eboo, Hebo|
Mamody|m|Eboo, Hebo|
Bemar|m|Eboo, Hebo|
Acquor|m|Eboo, Hebo|
Mango|m|Eboo, Hebo|
Wolar|m|Eboo, Hebo|
Hisane|m|Eboo, Hebo|
Gone|m|Eboo, Hebo|
Attar|m|Eboo, Hebo|
Bambay|m|Eboo, Hebo|
Potee|m|Eboo, Hebo|
Accor|m|Eboo, Hebo|
Hugooke|m|Eboo, Hebo|
Abbah|m|Eboo, Hebo|
Daquah|m|Eboo, Hebo|
Hofong|m|Eboo, Hebo|
Ocmottoy|m|Eboo, Hebo|
John|m|Eboo, Hebo|
Hosa|m|Eboo, Hebo|
Hegah|m|Eboo, Hebo|
Hebee|m|Eboo, Hebo|
Hubar|m|Eboo, Hebo|
Unknown|m|Eboo, Hebo|
Aeyum|m|Eboo, Hebo|
Acom|m|Eboo, Hebo|
Abomamy|m|Eboo, Hebo|
Humo|m|Eboo, Hebo|
Acquan|m|Eboo, Hebo|
Hobae|m|Eboo, Hebo|
Myhoo|m|Eboo, Hebo|
Ansoong|m|Eboo, Hebo|
Abassee|m|Eboo, Hebo|
Accindum|m|Eboo, Hebo|
Cordinum|m|Eboo, Hebo|
Acquan|m|Eboo, Hebo|
Apee|m|Eboo, Hebo|
Quadoh|m|Eboo, Hebo|
Hehung|m|Eboo, Hebo|
Hemdokoh|m|Eboo, Hebo|
Henyah|m|Eboo, Hebo|
Humkrar|m|Eboo, Hebo|
Coffa|m|Eboo, Hebo|
Hocuntah|m|Eboo, Hebo|
Ocol|m|Eboo, Hebo|
Ofam|m|Calabar|
Abasee|m|Calabar|
Antio|m|Calabar|
Anaimo|m|Calabar|
Echo|m|Calabar|
Hena|m|Calabar|
Hokee|m|Calabar|
Benoekoer|m|Eboo, Hebo|
Himboo|m|Calabar|
Chaur|m|Calabar|
Afonchue|m|Calabar|
Ioffan|m|Calabar|
Hogum|m|Calabar|
Hutung|m|Calabar|
Hochue|m|Calabar|
Sambo|m|Calabar|
Danba|m|Calabar|
Danny|m|Calabar|
Prasna|m|Calabar|
Egboockboo|m|Calabar|
Fuma|m|Calabar|
A Team|m|Calabar|
Adong|m|Calabar|
Furong|m|Calabar|
Condo|f|Eboo, Hebo|
Ahay|f|Eboo, Hebo|
Haca|f|Eboo, Hebo|
Humbea|f|Eboo, Hebo|
Ounknou|f|Eboo, Hebo|
Yeah|f|Eboo, Hebo|
Hufong|f|Calabar|
Bon|f|Calabar|
Acharlen|f|Calabar|
Hogo|f|Calabar|
Bore|f|Calabar|
Himona|f|Calabar|
Barrowfa|f|Calabar|
Boree|f|Calabar|
Domane|f|Calabar|
Bocey|f|Calabar|
Hussy|f|Calabar|
Enegba|f|Calabar|
Ogbah|f|Calabar|
Hegepah|f|Calabar|
Gondam|f|Calabar|
Bertather|f|Calabar|
Beneyah|f|Calabar|
Yaroah|f|Eboo, Hebo|
Macia|f|Eboo, Hebo|
Martah|f|Eboo, Hebo|
Enyeh|f|Eboo, Hebo|
Oloy|f|Eboo, Hebo|
Cocessa|f|Eboo, Hebo|
Atotu|f|Eboo, Hebo|
Ingua|f|Eboo, Hebo|
Cumacah|f|Eboo, Hebo|
Maoh|f|Eboo, Hebo|
Aduah|f|Eboo, Hebo|
Bukway|f|Eboo, Hebo|
Hogo|f|Eboo, Hebo|
Hack|f|Eboo, Hebo|
Adai|f|Eboo, Hebo|
Tooquah|f|Ahtop|
Hacommer|f|Ahtop|
