first_name|gender|origin
Vilhelmina |f|sweden
Vilja|f|sweden
Wilja |f|sweden
Villemo|f|sweden
Vilma|f|sweden
Wilma|f|sweden
Viola|f|sweden
Vira |f|sweden
Virginia|f|sweden
Vivan|f|sweden
Viveca|f|sweden
Viveka|f|sweden
Vivi|f|sweden
Vivian|f|sweden
Viviann|f|sweden
Vivi-Ann|f|sweden
Vivianne|f|sweden
Vivi-Anne|f|sweden
Yara |f|sweden
Yasmin|f|sweden
Yasmina|f|sweden
Yasmine|f|sweden
Ylva|f|sweden
Yrsa|f|sweden
Yusra|f|sweden
Yvonne|f|sweden
Zahra|f|sweden
Zahraa|f|sweden
Zainab|f|sweden
Zandra|f|sweden
Zanna|f|sweden
Zara|f|sweden
Zeinab|f|sweden
Zelda |f|sweden
Zeynep|f|sweden
Zilan|f|sweden
Zoe|f|sweden
Zoey |f|sweden
Zuzanna|f|sweden
Åsa|f|sweden
Åse|f|sweden
Ängla|f|sweden
A|m|sweden
Aabo|m|sweden
Aaby|m|sweden
Aadam|m|sweden
Aadan|m|sweden
Aadel|m|sweden
Aaden|m|sweden
Aadolf|m|sweden
Aagaard|m|sweden
Aage|m|sweden
Aake|m|sweden
Aamer|m|sweden
Aamir|m|sweden
Aapeli|m|sweden
Aapo|m|sweden
Aare|m|sweden
Aarne|m|sweden
Aarni|m|sweden
Aarno|m|sweden
Aaro|m|sweden
Aaron|m|sweden
Aarre|m|sweden
Aart|m|sweden
Aarto|m|sweden
Aatami|m|sweden
Aate|m|sweden
Aatos|m|sweden
Aatto|m|sweden
Aatu|m|sweden
Abaas|m|sweden
Abad|m|sweden
Abadi|m|sweden
Abanob|m|sweden
Abanoub|m|sweden
Abas|m|sweden
Abass|m|sweden
Abate|m|sweden
Abaz|m|sweden
Abbas|m|sweden
Abbass|m|sweden
Abbe|m|sweden
Abbo|m|sweden
Abbod|m|sweden
Abbood|m|sweden
Abboud|m|sweden
Abd|m|sweden
Abdal|m|sweden
Abdala|m|sweden
Abdalah|m|sweden
Abdalahad|m|sweden
Abdalaziz|m|sweden
Abdale|m|sweden
Abdalfatah|m|sweden
Abdalkareem|m|sweden
Abdalla|m|sweden
Abdallah|m|sweden
Abdalle|m|sweden
Abdalqader|m|sweden
Abdalrahman|m|sweden
Abdalrazak|m|sweden
Abdalsalam|m|sweden
Abdel|m|sweden
Abdelaal|m|sweden
Abdelahad|m|sweden
Abdelali|m|sweden
Abdelamir|m|sweden
Abdelatif|m|sweden
Abdelaziz|m|sweden
Abdelfatah|m|sweden
Abdelfattah|m|sweden
Abdelgadir|m|sweden
Abdelghani|m|sweden
Abdelhadi|m|sweden
Abdelhafid|m|sweden
Abdelhak|m|sweden
Abdelhakim|m|sweden
Abdelhamid|m|sweden
Abdelhay|m|sweden
Abdelilah|m|sweden
Abdelkader|m|sweden
Abdelkarim|m|sweden
Abdelkhalek|m|sweden
Abdelkrim|m|sweden
Abdella|m|sweden
Abdellah|m|sweden
Abdellatif|m|sweden
Abdelmajid|m|sweden
Abdelmalak|m|sweden
Abdelmalek|m|sweden
Abdelmasih|m|sweden
Abdelmonem|m|sweden
Abdelouahed|m|sweden
Abdelqader|m|sweden
Abdelrahim|m|sweden
Abdelrahman|m|sweden
Abdel-Rahman|m|sweden
Abdelsalam|m|sweden
Abdelwahab|m|sweden
Abdelwahed|m|sweden
Abderahman|m|sweden
Abderrahim|m|sweden
Abderrahman|m|sweden
Abderrahmane|m|sweden
Abderrazak|m|sweden
Abdeslam|m|sweden
Abdessalem|m|sweden
Abdessamad|m|sweden
Abdesslam|m|sweden
