first_name|gender|origin
DALEYZA|f|USA
DALIA|f|USA
DALIAH|f|USA
DALILAH|f|USA
DA'LIYAH|f|USA
DALYLA|f|USA
DALYN|f|USA
DA'MARIA|f|USA
DA'MYA|f|USA
DANA|f|USA
DANAE|f|USA
DANESIA|f|USA
DANETCY YERALDINE|f|USA
DANI|f|USA
DANIA|f|USA
DANIELA|f|USA
DANIELLA|f|USA
DANIELLE|f|USA
DANITZA|f|USA
DA'NIYAH|f|USA
DANNA|f|USA
DANNELI|f|USA
DANNETTE|f|USA
DANNEY|f|USA
DANNIELLE|f|USA
DANYELLA|f|USA
DAPHNE|f|USA
DAPHNIE|f|USA
DARA|f|USA
DARBY|f|USA
DARIA|f|USA
DARIANA|f|USA
DARIELA|f|USA
DARLA|f|USA
DARLETH|f|USA
DASHA|f|USA
DAVAEHA|f|USA
DAVIS|f|USA
DAWN|f|USA
DAYA|f|USA
DAYAMI|f|USA
DAYANA|f|USA
DAYANNA|f|USA
DAYELIN|f|USA
DAYIZ|f|USA
DAYLI|f|USA
DAYNA|f|USA
DAYSI|f|USA
DAZIRE|f|USA
DEBORAH|f|USA
DEBRA|f|USA
DEELIAH|f|USA
DEETHYA|f|USA
DEEYA SHRI|f|USA
DEIA|f|USA
DEJA|f|USA
DEJA'NAE|f|USA
DELANEY|f|USA
DELANY|f|USA
DELEIA|f|USA
DE'LEIAH|f|USA
DE'LEIYA|f|USA
DELIA|f|USA
DELICIA|f|USA
DELILAH|f|USA
DELINA|f|USA
DELMY|f|USA
DELPHINE|f|USA
DELYLAH|f|USA
DEMI|f|USA
DEMIYAH|f|USA
DENAHLY|f|USA
DENALI|f|USA
DENIA|f|USA
DENISE|f|USA
DENISSE|f|USA
DENNISE|f|USA
DEONDRIA|f|USA
DEOR|f|USA
DERRIANE|f|USA
DESI|f|USA
DESLYNN|f|USA
DESTANY|f|USA
DESTINEE|f|USA
DESTINY|f|USA
DEVANEY|f|USA
DEVENY SENA|f|USA
DEVESHI|f|USA
DEVI|f|USA
DEVIN|f|USA
